Pos,StartNr,Naam,Team,1_Swim,1_T1,1_Bike,1_T2,1_Run,Mix1,2_Run,2_T1,2_Bike,2_T2,2_Swim,Mix2,3_Bike,3_T1,3_Swim,3_T2,3_Run,Mix3,Totaal,Divisie
19,21,Jisk Hoogervoorst,EDO Sports 2 - Maastricht,03:08,53.4,07:07,55.7,05:35,17:38,05:55,50.3,07:24,43.9,03:00,17:53,08:35,47.6,03:15,01:19,06:03,19:58,01:15:32,1e divisie
20,14,Bouke Scheltinga,TC Twente 2 - Enschede,02:49,01:05,07:13,51.9,06:24,18:21,06:07,49.1,07:19,43.8,02:51,17:49,08:01,51.8,02:55,01:18,06:13,19:17,01:15:33,1e divisie
21,58,Juul van de Kruijs,TV Weert,03:06,57,07:17,47.1,05:56,18:02,05:51,49.2,07:28,40,03:13,18:01,08:07,39.8,03:08,01:23,06:11,19:27,01:15:35,1e divisie
22,54,Finn Hentzepeter,Argo - Wierden,03:02,52.8,07:13,42.5,06:14,18:03,06:10,56.8,07:19,37.8,03:04,18:06,08:02,37.2,03:05,01:18,06:22,19:23,01:15:37,1e divisie
23,45,Sander Hoogeveen,De Boks - Klazienaveen,02:37,51.9,07:33,40.9,06:30,18:12,06:18,45.2,07:21,42.8,02:39,17:45,08:14,39.1,02:49,01:23,06:31,19:35,01:15:39,1e divisie
24,61,Óscar Torrez Fernandez,Triade - Zwolle,03:02,50.7,07:12,43.1,06:19,18:05,06:07,45.8,07:30,37.6,02:59,17:58,08:04,36.4,03:16,01:21,06:16,19:33,01:15:43,1e divisie
25,27,Joran Driesen,Ferro Mosae - Maastricht,02:43,01:01,07:22,48.4,06:03,17:56,05:50,51.8,07:32,45,02:51,17:50,08:18,45.7,03:07,01:24,06:22,19:54,01:15:44,1e divisie
26,44,Paul Schermers,TTB - Bodegraven,02:57,01:08,07:27,39.5,06:10,18:19,06:07,47.3,07:25,42.9,02:49,17:50,08:03,43.5,03:01,01:25,06:18,19:28,01:15:46,1e divisie
27,15,Marco Vernooij,TC Twente 2 - Enschede,02:53,54,07:19,47,06:27,18:18,06:06,49,07:23,43.2,02:50,17:50,08:03,48.1,03:01,01:22,06:24,19:37,01:15:50,1e divisie
28,22,Edo van der Meer,EDO Sports 2 - Maastricht,02:42,01:01,07:12,37.7,06:19,17:50,06:11,47.4,07:18,43.3,02:56,17:55,08:20,48.6,02:57,01:23,06:37,20:03,01:15:53,1e divisie
29,28,Edwin Dasselaar,Ferro Mosae - Maastricht,03:11,53.1,07:05,54.2,06:02,18:05,05:51,50,07:24,45.1,03:12,18:01,08:06,44.5,03:15,01:21,06:17,19:42,01:15:54,1e divisie
30,46,Jordi Fuhler,De Boks - Klazienaveen,02:57,54.8,07:15,43.3,06:02,17:51,05:56,47.3,07:38,43.6,03:09,18:13,08:08,41.9,03:10,01:20,06:28,19:47,01:15:57,1e divisie
31,42,Richard de Groot,TTB - Bodegraven,02:47,01:02,07:31,48.4,06:12,18:18,06:06,49.3,07:24,43,02:54,17:56,08:33,43.1,03:07,01:25,06:01,19:47,01:16:07,1e divisie
32,63,Tim Hezemans,Triade - Zwolle,03:01,55.3,07:36,51.9,06:10,18:33,06:14,45.7,07:34,41.6,02:51,18:06,08:29,40.4,02:55,01:19,06:11,19:33,01:16:17,1e divisie
